complaint_text,category,department
The water supply in our neighborhood is irregular and needs to be fixed urgently.,Infrastructure,Public Works
The public transportation service is overcrowded and unreliable. Immediate action is needed.,Public Safety,Public Safety Department
"There is no proper sanitation in our area, making it unsafe for residents.",Health,Health Department
I am being unfairly treated by my supervisor and demand immediate intervention.,Human Resources,Human Resources
Our local hospital lacks medical supplies and staff. Patients are suffering.,Health,Health Department
"The roads are filled with potholes, causing damage to vehicles and accidents.",Infrastructure,Public Works
There is no access to clean drinking water in rural areas.,Public Health,Public Health Department
"The garbage collection service is infrequent, creating a health hazard in our community.",Public Health,Public Health Department
"Emergency response times are slow, leading to avoidable harm during disasters.",Public Safety,Emergency Services
Lack of proper drainage systems is causing flooding in many neighborhoods.,Infrastructure,Public Works
"The local school is overcrowded, and students are not receiving adequate education.",Education,Education Department
"There is no street lighting in our neighborhood, making it unsafe at night.",Public Safety,Public Safety Department
"Our hospital is understaffed, and patients have to wait for hours for treatment.",Health,Health Department
Public transportation is expensive and inefficient. It's difficult for people to commute.,Public Transportation,Public Transportation
The roads are so bad that they are causing car accidents and damaging vehicles.,Infrastructure,Public Works
The sewage system in our area is outdated and needs urgent repairs.,Health,Health Department
"We have insufficient emergency response services in our area, causing delays.",Public Safety,Public Safety Department
"The local police station is understaffed, leading to slow response times.",Human Resources,Human Resources
"There's a lack of affordable housing in our city, and the government is doing nothing.",Housing,Housing Department
"The water quality in our area is poor, and we are experiencing frequent outages.",Health,Health Department
"There are frequent power cuts, affecting the daily lives of residents.",Energy,Energy Department
The healthcare facilities in our area are substandard and need improvement.,Health,Health Department
"Our city's waste management system is inefficient, leading to garbage piling up.",Waste Management,Waste Management
"There is a lack of basic healthcare facilities in rural areas, which is causing health issues.",Public Safety,Public Safety Department
The local authorities are not doing enough to combat air pollution in the area.,Public Safety,Public Safety Department
Our school lacks essential educational resources such as books and technology.,Infrastructure,Public Works
There is frequent flooding in our area due to poorly maintained drainage systems.,Public Health,Public Health Department
"We have been waiting for proper road repairs for months, but nothing has been done.",Public Transportation,Public Transportation
"Our local library is outdated, and the resources are not up to date with modern education standards.",Public Safety,Public Safety Department
The water supply in my neighborhood has been unreliable for months.,Waste Management,Waste Management
"Local health clinics are overcrowded, and it takes too long to receive treatment.",Infrastructure,Infrastructure Department
"The roads in my area are riddled with potholes, making travel dangerous.",Education,Education Department
"The traffic lights in my area are malfunctioning, causing major traffic jams.",Public Safety,Public Safety Department
"The garbage collection service is infrequent, and it’s a public health concern.",Health,Health Department
"There is no public transportation in rural areas, making it difficult for people to commute.",Public Safety,Public Safety Department
The local park is poorly maintained and full of trash.,Housing,Housing Department
We need more police patrols in our area to ensure safety.,Public Health,Public Health Department
"Our area lacks proper sanitation facilities, which is leading to an increase in diseases.",Public Safety,Public Safety Department
"The public library is closed for renovation, and there is no timeline for reopening.",Education,Public Education
The medical facilities in our area are insufficient and need urgent attention.,Infrastructure,Waste Management
"There’s a lack of pedestrian infrastructure in my city, making it unsafe for walking.",Waste Management,Infrastructure Department
There is frequent flooding in my area due to blocked drainage systems.,Public Safety,Human Resources Department
The public transportation buses are old and uncomfortable.,Human Resources,Infrastructure Department
Our local school lacks proper classrooms for students.,Infrastructure,Public Health
The roads in my neighborhood need urgent resurfacing.,Public Health,Public Safety Department
Our city's recycling program is poorly managed and needs better implementation.,Public Safety,Public Safety Department
The healthcare center in our neighborhood doesn't have enough medical staff.,Housing,Health Department
"There is no proper waste management in our city, and it’s becoming a significant issue.",Education,Infrastructure Department
The local police station doesn't have enough resources to tackle crime effectively.,Infrastructure,Public Health Department
"The bus stop near my house is in disrepair, and the shelter is falling apart.",Health,Public Safety Department
The hospital in my area lacks essential medical supplies.,Energy,Housing Department
"We have to deal with constant power outages, disrupting our daily lives.",Public Safety,Education Department
The government is not addressing the rising number of homeless people in the city.,Public Safety,Infrastructure Department
Our local school is underfunded and lacks basic supplies for students.,Health,Health Department
"The drainage system in my neighborhood is clogged, causing waterlogging during rains.",Public Safety,Energy Department
"There are too many potholes on the roads, which is damaging vehicles.",Infrastructure,Public Safety Department
The government is not doing enough to ensure clean drinking water for all citizens.,Public Safety,Public Safety Department
"Our city has insufficient green spaces, and the parks are poorly maintained.",Public Safety,Health Department
"There are no fire hydrants in my area, which is a major safety concern.",Housing,Public Safety Department
"The public hospitals are overcrowded, and it takes hours to receive treatment.",Public Safety,Infrastructure Department
We need more streetlights to ensure safety in our area at night.,Infrastructure,Public Safety Department
The roads near my house are flooded during every heavy rain.,Public Health,Public Safety Department
"There is an increase in street crimes, and the police are not doing enough.",Public Safety,Housing Department
"My neighborhood has no access to reliable public transport, which is causing inconvenience.",Health,Public Safety Department
"The parks in my area are filled with trash, and it’s becoming a public health issue.",Public Health,Infrastructure Department
The sewage system in my city is outdated and needs urgent repairs.,Waste Management,Public Health Department
"Our local school lacks basic safety measures, making it a hazard for students.",Human Resources,Public Safety Department
"The drainage system in my area is poor, leading to frequent waterlogging.",Waste Management,Health Department
The local healthcare facilities are not well-equipped to handle emergencies.,Health,Public Health Department
We need more buses to provide better public transportation.,Public Safety,Waste Management
"The roads in my area are not maintained properly, leading to accidents.",Infrastructure,Public Works
The lack of affordable housing is becoming a major issue in our city.,Human Resources,Public Safety Department
Our local government is not addressing the issue of illegal dumping in the neighborhood.,Public Safety,Health Department
There is no proper healthcare infrastructure in rural areas.,Public Safety,Human Resources
The medical staff at the local hospital is understaffed and overworked.,Infrastructure,Health Department
"There are too many stray animals in my area, and they pose a health hazard.",Health,Public Works
"The water supply is frequently contaminated, leading to health problems.",Education,Public Health Department
The public restroom facilities in the city are dirty and poorly maintained.,Waste Management,Public Health Department
"The public schools are overcrowded, and students do not have enough resources.",Public Safety,Emergency Services
There are not enough ambulances available during emergencies.,Housing,Public Works
"Our area has insufficient street lighting, making it dangerous at night.",Public Health,Education Department
The public transportation system in my city is unreliable and expensive.,Public Safety,Public Safety Department
"The public hospitals are understaffed, leading to long waiting times for patients.",Waste Management,Health Department
There are not enough community centers in our area.,Public Safety,Public Transportation
Our local government has not addressed the issue of noise pollution in residential areas.,Infrastructure,Public Works
The emergency services in my city are slow and unresponsive.,Public Health,Health Department
There is no proper recycling program in my neighborhood.,Waste Management,Public Safety Department
The healthcare services in rural areas are severely lacking.,Waste Management,Human Resources
The local police do not respond quickly to emergencies.,Health,Housing Department
We are facing a severe shortage of water in our area during the summer months.,Public Safety,Health Department
There are frequent traffic accidents due to poor road conditions.,Infrastructure,Energy Department
The local parks are unsafe for children due to lack of proper maintenance.,Public Safety,Health Department
Our local government is not doing enough to improve air quality.,Health,Waste Management
There is inadequate support for people with disabilities in public facilities.,Human Resources,Public Safety Department
The public healthcare system is overcrowded and lacks essential resources.,Health,Public Safety Department
